Date,Open,High,Low,Close,Adj Close,Volume
2019-11-27,151.080002,152.029999,149.500000,151.789993,134.226135,695000
2019-11-29,151.460007,154.320007,151.270004,153.740005,135.950485,365000
2019-12-02,153.470001,157.669998,153.289993,157.539993,139.310806,625700
2019-12-03,155.139999,155.199997,150.789993,153.880005,136.074310,710900
2019-12-04,154.229996,154.889999,152.720001,153.399994,135.649841,507600
2019-12-05,154.149994,154.839996,152.039993,152.589996,134.933548,432800
2019-12-06,153.649994,155.460007,153.330002,154.539993,136.657928,380000
2019-12-09,154.179993,154.699997,151.000000,151.410004,133.890137,546700
2019-12-10,151.759995,152.500000,150.410004,152.320007,134.694839,456800
2019-12-11,152.830002,153.949997,151.740005,153.610001,135.835571,297500
2019-12-12,153.369995,154.789993,152.600006,152.919998,135.225388,314500
2019-12-13,152.800003,154.369995,152.240005,154.259995,136.410309,242000
2019-12-16,154.960007,155.190002,153.500000,153.839996,136.038925,326800
2019-12-17,154.300003,155.250000,153.809998,155.020004,137.082397,333000
2019-12-18,155.300003,155.449997,153.940002,154.740005,136.834763,281200
2019-12-19,154.199997,156.059998,153.520004,155.210007,137.250412,373500
2019-12-20,155.520004,157.419998,154.889999,156.910004,138.753693,1295300
2019-12-23,157.070007,157.149994,154.919998,155.699997,137.683701,280700
2019-12-24,156.500000,157.250000,156.110001,157.139999,138.957092,173400
2019-12-26,156.860001,157.050003,154.720001,155.050003,137.108917,302700
2019-12-27,155.449997,156.320007,154.360001,154.830002,136.914383,264800
2019-12-30,155.220001,156.460007,154.169998,156.250000,138.170074,323900
2019-12-31,155.770004,156.750000,153.330002,153.740005,135.950485,364600
2020-01-02,154.100006,154.679993,152.259995,154.580002,136.693329,364100
2020-01-03,153.839996,155.830002,153.110001,155.429993,137.444962,226300
2020-01-06,155.270004,156.889999,154.770004,156.210007,138.134705,252800
2020-01-07,155.419998,155.710007,154.059998,154.869995,136.949738,279100
2020-01-08,154.919998,157.229996,154.630005,156.710007,138.576874,252300
2020-01-09,156.839996,157.039993,154.770004,154.929993,137.002762,296100
2020-01-10,155.460007,158.399994,155.110001,158.320007,140.000534,441200
2020-01-13,158.500000,159.910004,157.880005,158.500000,140.159714,521600
2020-01-14,158.149994,162.350006,158.149994,162.289993,143.511169,556700
2020-01-15,162.179993,163.970001,161.639999,162.630005,143.811829,471200
2020-01-16,161.179993,161.649994,159.270004,159.380005,142.073563,422700
2020-01-17,160.000000,160.809998,158.639999,159.410004,142.100311,290100
2020-01-21,159.889999,159.979996,156.009995,157.919998,140.772095,288000
2020-01-22,159.070007,159.639999,158.139999,158.720001,141.485229,274200
